code,location,file,cdg_nodes,neighbor_node,context_list,ddg_list,static_list,cluster_index
"fprintf ( stderr , ""assertion failed: %s:%d: \""%s\""\n"" , file , line , expr )",13:4:361:431,/data/download/squid/squid-3.5.25/compat/assert.cc,[],"[["""", [4973, ""True"", ""int line"", ""Parameter""]], ["""", [4976, ""True"", ""const char * file"", ""Parameter""]], ["""", [4979, ""True"", ""const char * expr"", ""Parameter""]], ["""", [5004, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""const char *""]], [[""const char *""]], [[""ENTRY""]]]","[[[""const char *""], ""const char *""], [[""int""], ""int""], [[""const char *""], ""const char *""]]","[""\""assertion failed: %s:%d: \\\""%s\\\""\\n\""""]"
"fprintf ( stderr , ""\nUnable to connect to LDAPURI:%s\n"" , ldapServer )",264:12:8243:8309,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [17400, ""True"", ""rc != LDAP_SUCCESS"", ""Condition""]], [""True"", [17420, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]]]","[["""", [17404, ""True"", ""int rc = ldap_initialize ( & ld , ldapServer ) ;"", ""IdentifierDeclStatement""]], ["""", [17431, ""True"", ""LDAP * ld = NULL ;"", ""IdentifierDeclStatement""]]]","[[[""int"", ""LDAP_SUCCESS"", ""!=""]], [[""strstr"", ""const char *"", ""\""://\"""", ""NULL"", ""!=""]], [[""int"", ""int"", ""ldap_initialize"", ""&"", ""ld"", ""const char *"", ""=""]], [[""LDAP *"", ""NULL"", ""NULL"", ""=""]]]","[[[""const char *""], ""const char *""]]","[""\""\\nUnable to connect to LDAPURI:%s\\n\""""]"
"fprintf ( stderr , ""\tIf you need to bind as a user to perform searches then use the\n\t-D binddn -w bindpasswd or -D binddn -W secretfile options\n\n"" )",557:8:17799:17948,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17899, ""True"", ""fprintf ( stderr , \""\\tIf no search filter is specified, then the dn <userattr>=user,basedn\\n\\twill be used (same as specifying a search filter of '<userattr>=',\\n\\tbut quicker as as there is no need to search for the user DN)\\n\\n\"" )"", ""ExpressionStatement""]], ["""", [17908, ""True"", ""fprintf ( stderr , \""\\n\"" )"", ""ExpressionStatement""]], ["""", [17917, ""True"", ""fprintf ( stderr , \""\\t-d\\t\\t\\tenable debug mode\\n\"" )"", ""ExpressionStatement""]], ["""", [17926, ""True"", ""fprintf ( stderr , \""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\tIf no search filter is specified, then the dn <userattr>=user,basedn\\n\\twill be used (same as specifying a search filter of '<userattr>=',\\n\\tbut quicker as as there is no need to search for the user DN)\\n\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-d\\t\\t\\tenable debug mode\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\""""]]]",[],"[""\""\\tIf you need to bind as a user to perform searches then use the\\n\\t-D binddn -w bindpasswd or -D binddn -W secretfile options\\n\\n\""""]"
"fprintf ( stderr , ""\tIf no search filter is specified, then the dn <userattr>=user,basedn\n\twill be used (same as specifying a search filter of '<userattr>=',\n\tbut quicker as as there is no need to search for the user DN)\n\n"" )",556:8:17561:17789,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17908, ""True"", ""fprintf ( stderr , \""\\n\"" )"", ""ExpressionStatement""]], ["""", [17917, ""True"", ""fprintf ( stderr , \""\\t-d\\t\\t\\tenable debug mode\\n\"" )"", ""ExpressionStatement""]], ["""", [17926, ""True"", ""fprintf ( stderr , \""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\"" )"", ""ExpressionStatement""]], ["""", [17935, ""True"", ""fprintf ( stderr , \""\\t-v 2|3\\t\\t\\tLDAP version\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-d\\t\\t\\tenable debug mode\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-v 2|3\\t\\t\\tLDAP version\\n\""""]]]",[],"[""\""\\tIf no search filter is specified, then the dn <userattr>=user,basedn\\n\\twill be used (same as specifying a search filter of '<userattr>=',\\n\\tbut quicker as as there is no need to search for the user DN)\\n\\n\""""]"
"fprintf ( stderr , ""\n"" )",555:8:17530:17551,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17917, ""True"", ""fprintf ( stderr , \""\\t-d\\t\\t\\tenable debug mode\\n\"" )"", ""ExpressionStatement""]], ["""", [17926, ""True"", ""fprintf ( stderr , \""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\"" )"", ""ExpressionStatement""]], ["""", [17935, ""True"", ""fprintf ( stderr , \""\\t-v 2|3\\t\\t\\tLDAP version\\n\"" )"", ""ExpressionStatement""]], ["""", [17944, ""True"", ""fprintf ( stderr , \""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-d\\t\\t\\tenable debug mode\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-v 2|3\\t\\t\\tLDAP version\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\""""]]]",[],"[""\""\\n\""""]"
"fprintf ( stderr , ""\t-d\t\t\tenable debug mode\n"" )",554:8:17472:17520,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17926, ""True"", ""fprintf ( stderr , \""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\"" )"", ""ExpressionStatement""]], ["""", [17935, ""True"", ""fprintf ( stderr , \""\\t-v 2|3\\t\\t\\tLDAP version\\n\"" )"", ""ExpressionStatement""]], ["""", [17944, ""True"", ""fprintf ( stderr , \""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\"" )"", ""ExpressionStatement""]], ["""", [17953, ""True"", ""fprintf ( stderr , \""\\t-R\\t\\t\\tdo not follow referrals\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-v 2|3\\t\\t\\tLDAP version\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-R\\t\\t\\tdo not follow referrals\\n\""""]]]",[],"[""\""\\t-d\\t\\t\\tenable debug mode\\n\""""]"
"fprintf ( stderr , ""\t-Z\t\t\tTLS encrypt the LDAP connection, requires LDAP version 3\n"" )",552:8:17368:17455,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17935, ""True"", ""fprintf ( stderr , \""\\t-v 2|3\\t\\t\\tLDAP version\\n\"" )"", ""ExpressionStatement""]], ["""", [17944, ""True"", ""fprintf ( stderr , \""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\"" )"", ""ExpressionStatement""]], ["""", [17953, ""True"", ""fprintf ( stderr , \""\\t-R\\t\\t\\tdo not follow referrals\\n\"" )"", ""ExpressionStatement""]], ["""", [17962, ""True"", ""fprintf ( stderr , \""\\t-t timelimit\\t\\tsearch time limit\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-v 2|3\\t\\t\\tLDAP version\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-R\\t\\t\\tdo not follow referrals\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-t timelimit\\t\\tsearch time limit\\n\""""]]]",[],"[""\""\\t-Z\\t\\t\\tTLS encrypt the LDAP connection, requires LDAP version 3\\n\""""]"
"fprintf ( stderr , ""\t-v 2|3\t\t\tLDAP version\n"" )",551:8:17311:17358,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17944, ""True"", ""fprintf ( stderr , \""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\"" )"", ""ExpressionStatement""]], ["""", [17953, ""True"", ""fprintf ( stderr , \""\\t-R\\t\\t\\tdo not follow referrals\\n\"" )"", ""ExpressionStatement""]], ["""", [17962, ""True"", ""fprintf ( stderr , \""\\t-t timelimit\\t\\tsearch time limit\\n\"" )"", ""ExpressionStatement""]], ["""", [17971, ""True"", ""fprintf ( stderr , \""\\t-c timeout\\t\\tconnect timeout\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-R\\t\\t\\tdo not follow referrals\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-t timelimit\\t\\tsearch time limit\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-c timeout\\t\\tconnect timeout\\n\""""]]]",[],"[""\""\\t-v 2|3\\t\\t\\tLDAP version\\n\""""]"
"fprintf ( stderr , ""\t-a never|always|search|find\n\t\t\t\twhen to dereference aliases\n"" )",549:8:17193:17280,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17953, ""True"", ""fprintf ( stderr , \""\\t-R\\t\\t\\tdo not follow referrals\\n\"" )"", ""ExpressionStatement""]], ["""", [17962, ""True"", ""fprintf ( stderr , \""\\t-t timelimit\\t\\tsearch time limit\\n\"" )"", ""ExpressionStatement""]], ["""", [17971, ""True"", ""fprintf ( stderr , \""\\t-c timeout\\t\\tconnect timeout\\n\"" )"", ""ExpressionStatement""]], ["""", [17980, ""True"", ""fprintf ( stderr , \""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-R\\t\\t\\tdo not follow referrals\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-t timelimit\\t\\tsearch time limit\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-c timeout\\t\\tconnect timeout\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\""""]]]",[],"[""\""\\t-a never|always|search|find\\n\\t\\t\\t\\twhen to dereference aliases\\n\""""]"
"fprintf ( stderr , ""\t-R\t\t\tdo not follow referrals\n"" )",548:8:17129:17183,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17962, ""True"", ""fprintf ( stderr , \""\\t-t timelimit\\t\\tsearch time limit\\n\"" )"", ""ExpressionStatement""]], ["""", [17971, ""True"", ""fprintf ( stderr , \""\\t-c timeout\\t\\tconnect timeout\\n\"" )"", ""ExpressionStatement""]], ["""", [17980, ""True"", ""fprintf ( stderr , \""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\"" )"", ""ExpressionStatement""]], ["""", [17989, ""True"", ""fprintf ( stderr , \""\\t-P\\t\\t\\tpersistent LDAP connection\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-t timelimit\\t\\tsearch time limit\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-c timeout\\t\\tconnect timeout\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-P\\t\\t\\tpersistent LDAP connection\\n\""""]]]",[],"[""\""\\t-R\\t\\t\\tdo not follow referrals\\n\""""]"
"fprintf ( stderr , ""\t-t timelimit\t\tsearch time limit\n"" )",547:8:17063:17119,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17971, ""True"", ""fprintf ( stderr , \""\\t-c timeout\\t\\tconnect timeout\\n\"" )"", ""ExpressionStatement""]], ["""", [17980, ""True"", ""fprintf ( stderr , \""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\"" )"", ""ExpressionStatement""]], ["""", [17989, ""True"", ""fprintf ( stderr , \""\\t-P\\t\\t\\tpersistent LDAP connection\\n\"" )"", ""ExpressionStatement""]], ["""", [17998, ""True"", ""fprintf ( stderr , \""\\t-p port\\t\\t\\tLDAP server port\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-c timeout\\t\\tconnect timeout\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-P\\t\\t\\tpersistent LDAP connection\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-p port\\t\\t\\tLDAP server port\\n\""""]]]",[],"[""\""\\t-t timelimit\\t\\tsearch time limit\\n\""""]"
"fprintf ( stderr , ""\t-c timeout\t\tconnect timeout\n"" )",546:8:17001:17053,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17980, ""True"", ""fprintf ( stderr , \""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\"" )"", ""ExpressionStatement""]], ["""", [17989, ""True"", ""fprintf ( stderr , \""\\t-P\\t\\t\\tpersistent LDAP connection\\n\"" )"", ""ExpressionStatement""]], ["""", [17998, ""True"", ""fprintf ( stderr , \""\\t-p port\\t\\t\\tLDAP server port\\n\"" )"", ""ExpressionStatement""]], ["""", [18007, ""True"", ""fprintf ( stderr , \""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-P\\t\\t\\tpersistent LDAP connection\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-p port\\t\\t\\tLDAP server port\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\""""]]]",[],"[""\""\\t-c timeout\\t\\tconnect timeout\\n\""""]"
"fprintf ( stderr , ""\t-E sslcertpath\t\tenable LDAP over SSL\n"" )",544:8:16923:16984,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17989, ""True"", ""fprintf ( stderr , \""\\t-P\\t\\t\\tpersistent LDAP connection\\n\"" )"", ""ExpressionStatement""]], ["""", [17998, ""True"", ""fprintf ( stderr , \""\\t-p port\\t\\t\\tLDAP server port\\n\"" )"", ""ExpressionStatement""]], ["""", [18007, ""True"", ""fprintf ( stderr , \""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\"" )"", ""ExpressionStatement""]], ["""", [18016, ""True"", ""fprintf ( stderr , \""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-P\\t\\t\\tpersistent LDAP connection\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-p port\\t\\t\\tLDAP server port\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\""""]]]",[],"[""\""\\t-E sslcertpath\\t\\tenable LDAP over SSL\\n\""""]"
